magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,magtype,depth,location
6.5,4.0,4.0,0.0,651.0,0.0,3.873125,20.0,mww,113.5,"Haveluloto, Tonga"
6.5,6.0,4.0,0.0,652.0,0.0,3.873125,19.0,mww,113.5,"Pangai, Tonga"
7.0,7.0,7.0,1.0,1052.0,0.0,2.378,35.0,mww,43.0,"Ishinomaki, Japan"
6.6,5.0,5.0,1.0,672.0,0.0,3.183,18.0,mww,13.23,"Ust’-Kamchatsk Staryy, Russia"
6.5,0.0,4.0,0.0,650.0,0.0,3.873125,25.0,mwb,24.0,Kermadec Islands region
7.85,9.0,8.0,1.0,1021.0,0.0,0.739,21.0,mww,28.93,"Kermadec Islands, New Zealand"
7.4,3.0,7.0,1.0,843.0,0.0,0.437,30.0,mww,43.0,"Kermadec Islands, New Zealand"
7.3,7.0,6.0,1.0,932.0,0.0,0.918,24.0,mww,10.0,"Gisborne, New Zealand"
7.1,9.0,8.0,1.0,1149.125,0.0,3.085,11.0,mww,43.98,"Namie, Japan"
7.7,9.0,4.0,1.0,918.0,0.0,3.873125,15.0,mww,10.0,the Loyalty Islands
6.9,9.0,5.0,1.0,739.0,0.0,1.55,16.0,mww,15.0,South Shetland Islands
7.0,7.0,5.0,1.0,802.0,0.0,2.821,15.0,mww,80.0,"Pondaguitan, Philippines"
6.7,8.0,8.0,0.0,776.0,0.0,2.043,22.0,mww,10.0,"Turt, Mongolia"
6.7,5.0,5.0,1.0,776.0,0.0,1.319,19.0,mww,10.0,"Corral, Chile"
7.0,8.0,7.0,0.0,1149.125,0.0,1.518,18.0,mww,21.0,"Néon Karlovásion, Greece"
7.6,9.0,7.0,1.0,1149.125,0.0,0.23,36.0,mww,28.37,"Sand Point, Alaska"
6.9,0.0,3.0,1.0,732.0,0.0,3.873125,16.0,mww,10.0,central Mid-Atlantic Ridge
6.5,6.0,6.0,0.0,674.0,0.0,0.388,49.0,mww,16.0,"Vallenar, Chile"
6.8,6.0,7.0,1.0,824.0,0.0,0.312,67.5,mww,21.0,"Vallenar, Chile"
6.5,4.0,5.0,0.0,651.0,0.0,3.873125,31.0,mww,10.0,central Mid-Atlantic Ridge
6.9,4.0,3.0,0.0,749.0,0.0,2.267,20.0,mww,113.5,"Katabu, Indonesia"
6.9,4.0,4.0,0.0,735.0,0.0,1.716,25.0,mww,26.0,"Bengkulu, Indonesia"
6.8,5.0,4.0,0.0,716.0,0.0,1.816,34.0,mww,22.0,"Bengkulu, Indonesia"
6.6,9.0,8.0,1.0,784.0,0.0,3.873125,14.0,mww,10.0,"San Pedro, Philippines"
